[2026-03-25 00:46:39,401: INFO: common: created directory at:artifacts/data_ingestion]
[2026-03-25 00:47:49,991: INFO: common: yaml file: config\config.yaml loaded successfully]
[2026-03-25 00:47:49,999: INFO: common: yaml file: params.yaml loaded successfully]
[2026-03-25 00:47:50,007: INFO: common: created directory at:artfacts]
[2026-03-25 00:47:50,011: INFO: common: created directory at:artifacts/data_ingestion]
[2026-03-25 00:48:10,326: INFO: common: yaml file: config\config.yaml loaded successfully]
[2026-03-25 00:48:10,335: INFO: common: yaml file: params.yaml loaded successfully]
[2026-03-25 00:48:10,341: INFO: common: created directory at:artfacts]
[2026-03-25 00:48:10,343: INFO: common: created directory at:artifacts/data_ingestion]
[2026-03-25 00:58:04,345: INFO: common: yaml file: config\config.yaml loaded successfully]
[2026-03-25 00:58:04,359: INFO: common: yaml file: params.yaml loaded successfully]
[2026-03-25 00:58:04,382: INFO: common: created directory at:artfacts]
[2026-03-25 00:58:04,391: INFO: common: created directory at:artifacts/data_ingestion]
[2026-03-25 00:59:35,353: INFO: common: yaml file: config\config.yaml loaded successfully]
[2026-03-25 00:59:35,363: INFO: common: yaml file: params.yaml loaded successfully]
[2026-03-25 00:59:35,363: INFO: common: created directory at:artfacts]
[2026-03-25 00:59:35,376: INFO: common: created directory at:artifacts/data_ingestion]
[2026-03-25 01:08:26,678: INFO: common: yaml file: config\config.yaml loaded successfully]
[2026-03-25 01:08:26,679: INFO: common: yaml file: params.yaml loaded successfully]
[2026-03-25 01:08:26,679: INFO: common: created directory at:artfacts]
[2026-03-25 01:08:26,693: INFO: common: created directory at:artifacts/data_ingestion]
[2026-03-25 02:15:07,631: INFO: main: >>>>>> stage Data Ingestion stage started <<<<<<]
[2026-03-25 02:15:07,631: INFO: common: yaml file: config\config.yaml loaded successfully]
[2026-03-25 02:15:07,631: INFO: common: yaml file: params.yaml loaded successfully]
[2026-03-25 02:15:07,631: INFO: common: created directory at:artfacts]
[2026-03-25 02:15:07,631: INFO: common: created directory at:artifacts/data_ingestion]
[2026-03-25 02:16:42,841: INFO: main: >>>>>> stage Data Ingestion stage completed <<<<<<

x=========X]
[2026-03-25 02:31:57,857: INFO: main: >>>>>> stage Data Ingestion stage started <<<<<<]
[2026-03-25 02:31:57,857: INFO: common: yaml file: config\config.yaml loaded successfully]
[2026-03-25 02:31:57,857: INFO: common: yaml file: params.yaml loaded successfully]
[2026-03-25 02:31:57,857: INFO: common: created directory at:artifacts]
[2026-03-25 02:31:57,873: INFO: common: created directory at:artifacts/data_ingestion]
[2026-03-25 02:33:20,221: INFO: main: >>>>>> stage Data Ingestion stage completed <<<<<<

x=========X]
[2026-03-27 00:52:49,853: INFO: common: yaml file: config\config.yaml loaded successfully]
[2026-03-27 00:52:49,877: INFO: common: yaml file: params.yaml loaded successfully]
[2026-03-27 00:52:49,894: INFO: common: created directory at:artifacts]
[2026-03-27 00:52:49,894: INFO: common: created directory at:artifacts/prepare_base_model]
[2026-03-27 00:56:11,233: WARNING: saving_utils: Compiled the loaded model, but the compiled metrics have yet to be built. `model.compile_metrics` will be empty until you train or evaluate the model.]
[2026-03-27 00:59:00,260: INFO: common: yaml file: config\config.yaml loaded successfully]
[2026-03-27 00:59:00,264: INFO: common: yaml file: params.yaml loaded successfully]
[2026-03-27 00:59:00,283: INFO: common: created directory at:artifacts]
[2026-03-27 00:59:00,285: INFO: common: created directory at:artifacts/prepare_base_model]
[2026-03-27 00:59:01,288: WARNING: saving_utils: Compiled the loaded model, but the compiled metrics have yet to be built. `model.compile_metrics` will be empty until you train or evaluate the model.]
[2026-03-27 17:14:09,113: INFO: common: yaml file: config\config.yaml loaded successfully]
[2026-03-27 17:14:09,142: INFO: common: yaml file: params.yaml loaded successfully]
[2026-03-27 17:14:09,154: INFO: common: created directory at:artifacts]
[2026-03-27 17:14:09,164: INFO: common: created directory at:artifacts\training]
[2026-03-27 17:16:23,417: INFO: common: yaml file: config\config.yaml loaded successfully]
[2026-03-27 17:16:23,427: INFO: common: yaml file: params.yaml loaded successfully]
[2026-03-27 17:16:23,427: INFO: common: created directory at:artifacts]
[2026-03-27 17:16:23,434: INFO: common: created directory at:artifacts\training]
